condition,risk_noise_sd,risk_bias,n_trials,n_success,success_rate,ci95_low,ci95_high,energy_mean,energy_ci95_halfwidth,mean_n_interventions
clean,0.0,0.0,20,20,1.0000,0.8389,1.0000,2.7829,0.3111,5.10
noise0.15,0.15,0.0,20,20,1.0000,0.8389,1.0000,2.4002,0.1993,6.00
bias+0.20,0.0,0.2,20,20,1.0000,0.8389,1.0000,2.4875,0.2598,6.00
bias-0.05,0.0,-0.05,20,19,0.9500,0.7639,0.9911,3.0705,0.2708,4.20
bias-0.10,0.0,-0.1,20,12,0.6000,0.3866,0.7812,3.0406,0.3096,3.10
bias-0.20,0.0,-0.2,20,14,0.7000,0.4810,0.8545,2.9368,0.2318,2.80
