rho,trial,seed,suppressed,energy,offtarget,final,n_interventions
0.1,0,1000,yes,4.595279,0.087228,0.218393,3
0.1,1,1001,yes,1.634691,0.149580,0.189588,5
0.1,2,1002,yes,2.976707,0.098284,0.185880,4
0.1,3,1003,yes,1.299208,0.183254,0.128696,5
0.1,4,1004,yes,1.486897,0.163750,0.064816,6
0.1,5,1005,yes,2.064796,0.122533,0.192975,5
0.1,6,1006,yes,3.387517,0.087462,0.085288,5
0.1,7,1007,yes,2.496570,0.120837,0.224906,4
0.1,8,1008,no,3.266458,0.094952,0.319363,4
0.1,9,1009,yes,3.443138,0.094199,0.177834,4
0.1,10,1010,no,2.267171,0.131042,0.357577,4
0.1,11,1011,yes,3.045580,0.087793,0.182851,5
0.1,12,1012,yes,4.447473,0.071799,0.153882,5
0.1,13,1013,yes,2.766198,0.096447,0.195981,5
0.1,14,1014,yes,3.502080,0.093134,0.132807,4
0.1,15,1015,yes,2.801818,0.097256,0.137590,5
0.1,16,1016,yes,3.373233,0.097678,0.157904,4
0.1,17,1017,yes,3.065484,0.101293,0.257257,4
0.1,18,1018,no,2.065397,0.133594,0.364485,5
0.1,19,1019,yes,3.468510,0.086815,0.190420,4
