comparison,n_paired,median_a,median_b,median_diff,wilcoxon_W,wilcoxon_p,mannwhitney_U,mannwhitney_p,rank_biserial,verdict_alpha0.05
proposed_vs_ablation,100,2.7497,3.9302,-1.2459,185.00,8.577e-16,1246.00,4.675e-20,0.751,significant difference (p < 0.05)
proposed_vs_pi,100,2.7497,1.8206,1.0024,387.00,1.965e-13,8502.00,1.173e-17,-0.700,significant difference (p < 0.05)
