rho,trial,seed,suppressed,energy,offtarget,final,n_interventions
0.001,0,1000,yes,3.465662,0.085834,0.064800,6
0.001,1,1001,yes,3.219955,0.113384,0.179688,3
0.001,2,1002,yes,3.825802,0.088004,0.120863,4
0.001,3,1003,yes,1.640052,0.148463,0.162794,5
0.001,4,1004,yes,2.000474,0.127838,0.193034,5
0.001,5,1005,no,2.992043,0.094570,0.314985,4
0.001,6,1006,yes,3.578687,0.092963,0.225503,4
0.001,7,1007,yes,2.775631,0.109530,0.056276,5
0.001,8,1008,yes,3.104313,0.093053,0.095846,4
0.001,9,1009,yes,3.868675,0.084959,0.191925,4
0.001,10,1010,yes,2.221870,0.108550,0.134648,5
0.001,11,1011,yes,4.222790,0.073534,0.193915,4
0.001,12,1012,yes,3.178556,0.088490,0.130901,5
0.001,13,1013,yes,2.577952,0.105107,0.127832,4
0.001,14,1014,yes,3.262089,0.093967,0.212936,4
0.001,15,1015,yes,2.366040,0.111684,0.113699,5
0.001,16,1016,no,3.152296,0.098606,0.335715,3
0.001,17,1017,yes,2.838522,0.097029,0.283156,5
0.001,18,1018,yes,2.143752,0.117661,0.231870,5
0.001,19,1019,yes,4.116522,0.074303,0.211801,5
