condition,trial,seed,suppressed,energy,final_zone_amp,n_interventions
bias-0.20,0,1000,no,3.675769,0.357076,2
bias-0.20,1,1001,yes,2.646269,0.247547,3
bias-0.20,2,1002,yes,3.052129,0.198939,3
bias-0.20,3,1003,no,2.571206,0.371174,2
bias-0.20,4,1004,yes,1.655409,0.145593,5
bias-0.20,5,1005,no,3.079266,0.352075,2
bias-0.20,6,1006,yes,3.047811,0.263519,2
bias-0.20,7,1007,no,2.421379,0.316282,3
bias-0.20,8,1008,yes,3.630417,0.245126,2
bias-0.20,9,1009,yes,3.298927,0.142075,3
bias-0.20,10,1010,yes,2.871139,0.171132,2
bias-0.20,11,1011,no,3.564563,0.375322,2
bias-0.20,12,1012,yes,3.532243,0.136404,2
bias-0.20,13,1013,no,2.965775,0.314158,3
bias-0.20,14,1014,yes,2.603972,0.261692,3
bias-0.20,15,1015,yes,2.165505,0.099868,4
bias-0.20,16,1016,yes,3.607016,0.133793,4
bias-0.20,17,1017,yes,2.734342,0.135763,3
bias-0.20,18,1018,yes,2.815993,0.111799,3
bias-0.20,19,1019,yes,2.796617,0.139483,3
