rho_R2,alpha_over_R2,n_trials,n_success,success_rate,ci95_low,ci95_high,energy_mean,energy_ci95_halfwidth,mean_n_interventions
0.001,1000.0,20,18,0.9000,0.6990,0.9721,3.0276,0.3138,4.45
0.003,333.3333333333333,20,19,0.9500,0.7639,0.9911,2.8323,0.3385,4.60
0.01,100.0,20,20,1.0000,0.8389,1.0000,2.7829,0.3111,5.10
0.03,33.333333333333336,20,19,0.9500,0.7639,0.9911,2.8982,0.2764,4.70
0.1,10.0,20,17,0.8500,0.6396,0.9476,2.8727,0.3898,4.50
