rho,trial,seed,suppressed,energy,offtarget,final,n_interventions
0.03,0,1000,yes,3.076776,0.095966,0.215678,5
0.03,1,1001,yes,2.949836,0.092687,0.153014,5
0.03,2,1002,yes,2.999105,0.095325,0.161971,4
0.03,3,1003,yes,2.141445,0.116383,0.136612,5
0.03,4,1004,yes,1.439177,0.165722,0.186077,5
0.03,5,1005,yes,2.950677,0.095985,0.117228,5
0.03,6,1006,yes,3.672426,0.080276,0.171306,5
0.03,7,1007,yes,1.686589,0.153356,0.126732,5
0.03,8,1008,yes,3.732517,0.083612,0.152906,4
0.03,9,1009,yes,3.602581,0.093490,0.193425,4
0.03,10,1010,no,2.438983,0.126176,0.362400,4
0.03,11,1011,yes,3.495436,0.084129,0.207346,4
0.03,12,1012,yes,3.223786,0.093722,0.083597,5
0.03,13,1013,yes,3.097369,0.098585,0.212813,4
0.03,14,1014,yes,3.267517,0.089580,0.217348,5
0.03,15,1015,yes,2.609921,0.102689,0.237650,5
0.03,16,1016,yes,3.167613,0.099503,0.163783,4
0.03,17,1017,yes,2.552733,0.102050,0.119395,5
0.03,18,1018,yes,2.470304,0.099742,0.176696,6
0.03,19,1019,yes,3.388766,0.084010,0.156808,5
