condition,trial,seed,suppressed,energy,final_zone_amp,n_interventions
bias-0.05,0,1000,yes,3.783451,0.099661,4
bias-0.05,1,1001,yes,2.317943,0.235783,5
bias-0.05,2,1002,yes,3.619598,0.129343,4
bias-0.05,3,1003,yes,3.168157,0.220003,4
bias-0.05,4,1004,yes,2.161435,0.118689,6
bias-0.05,5,1005,no,3.058880,0.350398,3
bias-0.05,6,1006,yes,3.373172,0.169826,4
bias-0.05,7,1007,yes,1.844763,0.215188,6
bias-0.05,8,1008,yes,3.966076,0.093757,4
bias-0.05,9,1009,yes,3.389698,0.087421,4
bias-0.05,10,1010,yes,2.387011,0.167752,5
bias-0.05,11,1011,yes,3.871181,0.146890,3
bias-0.05,12,1012,yes,3.626388,0.118118,3
bias-0.05,13,1013,yes,2.683640,0.165054,4
bias-0.05,14,1014,yes,3.113192,0.085457,4
bias-0.05,15,1015,yes,2.764247,0.159108,5
bias-0.05,16,1016,yes,3.105791,0.195399,4
bias-0.05,17,1017,yes,2.413146,0.092177,5
bias-0.05,18,1018,yes,3.026469,0.125394,4
bias-0.05,19,1019,yes,3.736537,0.191425,3
