openloop_amplitude,ictal_zone_amp,total_energy,seizure_suppressed
0.030,0.0151,0.4320,yes
0.060,0.0082,1.7280,yes
0.090,0.0067,3.8880,yes
0.120,0.0064,6.9120,yes
0.150,0.0064,10.8000,yes
