rho,trial,seed,suppressed,energy,offtarget,final,n_interventions
0.003,0,1000,yes,3.676593,0.087791,0.141230,4
0.003,1,1001,yes,2.154242,0.115358,0.146252,5
0.003,2,1002,yes,3.074810,0.092565,0.139124,5
0.003,3,1003,yes,2.745707,0.097560,0.169097,5
0.003,4,1004,yes,1.218458,0.193993,0.091944,5
0.003,5,1005,yes,2.190239,0.110860,0.111053,5
0.003,6,1006,yes,3.262033,0.095188,0.271651,4
0.003,7,1007,yes,1.898223,0.132736,0.081743,6
0.003,8,1008,yes,3.676989,0.085446,0.169946,5
0.003,9,1009,yes,4.164325,0.084619,0.198406,4
0.003,10,1010,no,2.512767,0.121831,0.363558,4
0.003,11,1011,yes,3.780001,0.087158,0.262133,3
0.003,12,1012,yes,3.500846,0.088213,0.156459,4
0.003,13,1013,yes,3.066884,0.091586,0.106915,4
0.003,14,1014,yes,3.293392,0.103377,0.153290,4
0.003,15,1015,yes,2.309241,0.105338,0.066133,5
0.003,16,1016,yes,3.093226,0.100879,0.079358,4
0.003,17,1017,yes,2.667558,0.102446,0.243424,5
0.003,18,1018,yes,1.633766,0.143407,0.089398,5
0.003,19,1019,yes,2.726640,0.094657,0.166693,6
