condition,n_trials,n_success,success_rate,ci95_low,ci95_high,energy_mean,energy_ci95_halfwidth,offtarget_mean
"Proposed, real-only (single-electrode) actuation",100,68,0.6800,0.5834,0.7633,10.5441,0.2252,0.0423
"Proposed, two-component actuation (reference)",100,93,0.9300,0.8625,0.9657,2.7691,0.1407,0.1045
